#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2210.0,56,50.661882
2150.0,106,50.685756
2270.0,58,50.703932
2120.0,81,50.72465
1040.0,162,50.753475
2460.0,135,50.779867
1910.0,16,50.797255
1120.0,50,50.822626
2290.0,134,50.852608
2080.0,71,50.874989
2130.0,64,50.896866
960.0,158,51.18969
2230.0,162,51.221239
2090.0,82,51.244305
2150.0,112,51.270896
1020.0,110,51.297836
2120.0,57,51.317905
1020.0,164,51.350898
2180.0,69,51.373391
3220.0,132,51.402321
1020.0,96,51.428019
2230.0,52,51.448519
1010.0,97,51.472801
2080.0,193,51.507243
980.0,130,51.534771
1120.0,46,51.554276
2370.0,94,51.579057
2100.0,115,51.605295
3710.0,153,51.636107
1020.0,60,51.658656
2440.0,171,51.958044
2180.0,131,51.986957
3240.0,128,52.012847
1040.0,86,52.035152
2270.0,216,52.076869
2160.0,61,52.098315
2140.0,37,52.114871
2030.0,136,52.14419
2470.0,98,52.168426
2210.0,134,52.19776
2200.0,103,52.221104
1090.0,75,52.243884
980.0,90,52.265229
2070.0,64,52.284167
2000.0,97,52.307757
1100.0,92,52.329343
2170.0,54,52.347863
1120.0,142,52.375186
1130.0,31,52.390625
3530.0,127,52.416994
2100.0,105,52.699326
2480.0,287,52.742743
2120.0,55,52.760934
2210.0,80,52.784101
1020.0,38,52.804074
1180.0,40,52.82529
2020.0,251,52.8677
2090.0,84,52.894241
2090.0,88,52.918308
1100.0,122,52.947619
3260.0,190,52.982428
2160.0,79,53.004728
2110.0,38,53.025126
2280.0,119,53.054977
3260.0,102,53.080781
1190.0,61,53.101834
2070.0,154,53.134601
2100.0,155,53.16904
2150.0,122,53.456936
1030.0,31,53.475054
2380.0,81,53.501346
2320.0,177,53.534149
2360.0,91,53.557156
1150.0,57,53.575443
2250.0,96,53.597557
2320.0,179,53.628074
890.0,135,53.65763
2040.0,213,53.693743
2550.0,110,53.719133
1020.0,148,53.748961
2440.0,91,53.772364
1990.0,76,53.793386
2220.0,83,53.816624
3720.0,204,53.851677
2380.0,83,53.87588
1060.0,142,54.180717
